Title_Name,Title_URL,Script_URL
15 Minutes,https://www.imsdb.com/Movie%20Scripts/15%20Minutes%20Script.html,https://www.imsdb.com/scripts/15-Minutes.html
2012,https://www.imsdb.com/Movie%20Scripts/2012%20Script.html,https://www.imsdb.com/scripts/2012.html
30 Minutes or Less,https://www.imsdb.com/Movie%20Scripts/30%20Minutes%20or%20Less%20Script.html,https://www.imsdb.com/scripts/30-Minutes-or-Less.html
48 Hrs.,https://www.imsdb.com/Movie%20Scripts/48%20Hrs.%20Script.html,https://www.imsdb.com/scripts/48-Hrs..html
A Most Violent Year,https://www.imsdb.com/Movie%20Scripts/A%20Most%20Violent%20Year%20Script.html,https://www.imsdb.com/scripts/A-Most-Violent-Year.html
Above the Law,https://www.imsdb.com/Movie%20Scripts/Above%20the%20Law%20Script.html,https://www.imsdb.com/scripts/Above-the-Law.html
"Abyss, The","https://www.imsdb.com/Movie%20Scripts/Abyss,%20The%20Script.html","https://www.imsdb.com/scripts/Abyss,-The.html"
Air Force One,https://www.imsdb.com/Movie%20Scripts/Air%20Force%20One%20Script.html,https://www.imsdb.com/scripts/Air-Force-One.html
Alien,https://www.imsdb.com/Movie%20Scripts/Alien%20Script.html,https://www.imsdb.com/scripts/Alien.html
Alien 3,https://www.imsdb.com/Movie%20Scripts/Alien%203%20Script.html,https://www.imsdb.com/scripts/Alien-3.html
Alien vs. Predator,https://www.imsdb.com/Movie%20Scripts/Alien%20vs.%20Predator%20Script.html,https://www.imsdb.com/scripts/Alien-vs.-Predator.html
Alien: Resurrection,https://www.imsdb.com/Movie%20Scripts/Alien:%20Resurrection%20Script.html,https://www.imsdb.com/scripts/Alien-Resurrection.html
Aliens,https://www.imsdb.com/Movie%20Scripts/Aliens%20Script.html,https://www.imsdb.com/scripts/Aliens.html
Alone in the Dark,https://www.imsdb.com/Movie%20Scripts/Alone%20in%20the%20Dark%20Script.html,https://www.imsdb.com/scripts/Alone-in-the-Dark.html
American Outlaws,https://www.imsdb.com/Movie%20Scripts/American%20Outlaws%20Script.html,https://www.imsdb.com/scripts/American-Outlaws.html
American Shaolin: King of Kickboxers II,https://www.imsdb.com/Movie%20Scripts/American%20Shaolin:%20King%20of%20Kickboxers%20II%20Script.html,https://www.imsdb.com/scripts/American-Shaolin-King-of-Kickboxers-II.html
American Sniper,https://www.imsdb.com/Movie%20Scripts/American%20Sniper%20Script.html,https://www.imsdb.com/scripts/American-Sniper.html
Apocalypse Now,https://www.imsdb.com/Movie%20Scripts/Apocalypse%20Now%20Script.html,https://www.imsdb.com/scripts/Apocalypse-Now.html
Arctic Blue,https://www.imsdb.com/Movie%20Scripts/Arctic%20Blue%20Script.html,https://www.imsdb.com/scripts/Arctic-Blue.html
Armageddon,https://www.imsdb.com/Movie%20Scripts/Armageddon%20Script.html,https://www.imsdb.com/scripts/Armageddon.html
Army of Darkness,https://www.imsdb.com/Movie%20Scripts/Army%20of%20Darkness%20Script.html,https://www.imsdb.com/scripts/Army-of-Darkness.html
Assassins,https://www.imsdb.com/Movie%20Scripts/Assassins%20Script.html,https://www.imsdb.com/scripts/Assassins.html
Austin Powers - International Man of Mystery,https://www.imsdb.com/Movie%20Scripts/Austin%20Powers%20-%20International%20Man%20of%20Mystery%20Script.html,https://www.imsdb.com/scripts/Austin-Powers---International-Man-of-Mystery.html
Austin Powers - The Spy Who Shagged Me,https://www.imsdb.com/Movie%20Scripts/Austin%20Powers%20-%20The%20Spy%20Who%20Shagged%20Me%20Script.html,https://www.imsdb.com/scripts/Austin-Powers---The-Spy-Who-Shagged-Me.html
Avatar,https://www.imsdb.com/Movie%20Scripts/Avatar%20Script.html,https://www.imsdb.com/scripts/Avatar.html
"Avengers, The","https://www.imsdb.com/Movie%20Scripts/Avengers,%20The%20Script.html","https://www.imsdb.com/scripts/Avengers,-The.html"
"Avengers, The (2012)","https://www.imsdb.com/Movie%20Scripts/Avengers,%20The%20(2012)%20Script.html","https://www.imsdb.com/scripts/Avengers,-The-(2012).html"
Back to the Future,https://www.imsdb.com/Movie%20Scripts/Back%20to%20the%20Future%20Script.html,https://www.imsdb.com/scripts/Back-to-the-Future.pdf
Backdraft,https://www.imsdb.com/Movie%20Scripts/Backdraft%20Script.html,https://www.imsdb.com/scripts/Backdraft.html
Bad Boys,https://www.imsdb.com/Movie%20Scripts/Bad%20Boys%20Script.html,https://www.imsdb.com/scripts/Bad-Boys.html
Bad Country,https://www.imsdb.com/Movie%20Scripts/Bad%20Country%20Script.html,https://www.imsdb.com/scripts/Bad-Country.html
Batman,https://www.imsdb.com/Movie%20Scripts/Batman%20Script.html,https://www.imsdb.com/scripts/Batman.html
Batman 2,https://www.imsdb.com/Movie%20Scripts/Batman%202%20Script.html,https://www.imsdb.com/scripts/Batman-2.html
Batman and Robin,https://www.imsdb.com/Movie%20Scripts/Batman%20and%20Robin%20Script.html,Not accessible
Batman Begins,https://www.imsdb.com/Movie%20Scripts/Batman%20Begins%20Script.html,Not accessible
Batman Forever,https://www.imsdb.com/Movie%20Scripts/Batman%20Forever%20Script.html,Not accessible
Batman Returns,https://www.imsdb.com/Movie%20Scripts/Batman%20Returns%20Script.html,Not accessible
Battle: Los Angeles,https://www.imsdb.com/Movie%20Scripts/Battle:%20Los%20Angeles%20Script.html,https://www.imsdb.com/scripts/Battle-Los-Angeles.html
Black Panther,https://www.imsdb.com/Movie%20Scripts/Black%20Panther%20Script.html,https://www.imsdb.com/scripts/Black-Panther.html
Black Rain,https://www.imsdb.com/Movie%20Scripts/Black%20Rain%20Script.html,https://www.imsdb.com/scripts/Black-Rain.html
Blade,https://www.imsdb.com/Movie%20Scripts/Blade%20Script.html,https://www.imsdb.com/scripts/Blade.html
Blade II,https://www.imsdb.com/Movie%20Scripts/Blade%20II%20Script.html,https://www.imsdb.com/scripts/Blade-II.html
Blade Runner,https://www.imsdb.com/Movie%20Scripts/Blade%20Runner%20Script.html,https://www.imsdb.com/scripts/Blade-Runner.html
